Variable:,location_id,location_name,year_id,measure_name,metric_id,metric_name,scenario,scenario_name,val,upper,lower
Label:,Location ID,Location Name,Year ID,Measure Name,Metric ID,Metric Name,Scenario ID,Scenario Name,Value,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,1,Global,1950,Total Fertility Rate,3,Rate,-1,Slower Met Need and Education,,,
,31,"Central Europe, Eastern Europe, and Central Asia",1951,,,,0,Reference,,,
,32,Central Asia,1952,,,,1,Faster Met Need and Education,,,
,42,Central Europe,1953,,,,2,Fastest Met Need and Education,,,
,56,Eastern Europe,1954,,,,3,SDG Met Need and Education,,,
,64,High-income,1955,,,,,,,,
,70,Australasia,1956,,,,,,,,
,65,High-income Asia Pacific,1957,,,,,,,,
,100,High-income North America,1958,,,,,,,,
,96,Southern Latin America,1959,,,,,,,,
,73,Western Europe,1960,,,,,,,,
,103,Latin America and Caribbean,1961,,,,,,,,
,120,Andean Latin America,1962,,,,,,,,
,104,Caribbean,1963,,,,,,,,
,124,Central Latin America,1964,,,,,,,,
,134,Tropical Latin America,1965,,,,,,,,
,137,North Africa and Middle East,1966,,,,,,,,
,138,North Africa and Middle East,1967,,,,,,,,
,158,South Asia,1968,,,,,,,,
,159,South Asia,1969,,,,,,,,
,4,"Southeast Asia, East Asia, and Oceania",1970,,,,,,,,
,5,East Asia,1971,,,,,,,,
,21,Oceania,1972,,,,,,,,
,9,Southeast Asia,1973,,,,,,,,
,166,Sub-Saharan Africa,1974,,,,,,,,
,167,Central Sub-Saharan Africa,1975,,,,,,,,
,174,Eastern Sub-Saharan Africa,1976,,,,,,,,
,192,Southern Sub-Saharan Africa,1977,,,,,,,,
,199,Western Sub-Saharan Africa,1978,,,,,,,,
,33,Armenia,1979,,,,,,,,
,34,Azerbaijan,1980,,,,,,,,
,35,Georgia,1981,,,,,,,,
,36,Kazakhstan,1982,,,,,,,,
,37,Kyrgyzstan,1983,,,,,,,,
,38,Mongolia,1984,,,,,,,,
,39,Tajikistan,1985,,,,,,,,
,40,Turkmenistan,1986,,,,,,,,
,41,Uzbekistan,1987,,,,,,,,
,43,Albania,1988,,,,,,,,
,44,Bosnia and Herzegovina,1989,,,,,,,,
,45,Bulgaria,1990,,,,,,,,
,46,Croatia,1991,,,,,,,,
,47,Czechia,1992,,,,,,,,
